,state,county,parameter,county_code,site_number,parameter_code,year,observation_count,exceptional_data_count,null_observation_count,arithmetic_mean,standard_deviation
80,AZ,Maricopa,Lead (TSP) LC,13.0,4018.0,14129.0,2014.0,40.4,0.0,4.0,0.026646799999999998,0.017491399999999997
81,AZ,Maricopa,Lead PM10 LC FRM/FEM,13.0,9997.0,85129.0,2014.0,54.4,0.0,0.2,0.0037624,0.004527
82,AZ,Maricopa,Nitrogen dioxide (NO2),13.0,4009.733333333333,42602.0,2014.2,8136.4,0.0,246.8,26.743055050000006,11.33536568333333
83,AZ,Maricopa,Ozone,13.0,4969.030303030303,44201.0,2014.0757575757575,7519.267045454545,57.06818181818182,38.071969696969695,0.0514290246212121,0.011098535984848511
84,AZ,Maricopa,PM10 Total 0-10um STP,13.0,4380.365180467092,81102.0,2013.6709129511678,4184.980891719745,57.13375796178344,76.44798301486199,33.13290092144373,30.866140377919308
85,AZ,Maricopa,PM2.5 - Local Conditions,13.0,4471.423880597015,88101.0,2013.9462686567165,1309.244776119403,0.01791044776119403,41.680597014925375,8.477870934328356,5.955550217910446
86,AZ,Maricopa,Sulfur dioxide,13.0,7603.666666666667,42401.0,2014.0,5018.683333333333,0.0,149.53333333333333,1.2910072499999998,0.9919689166666665
87,AZ,Mohave,PM10 Total 0-10um STP,15.0,1003.5714285714286,81102.0,2013.5357142857142,1783.5,20.357142857142858,33.07142857142857,18.615951035714286,15.20378017857143
88,AZ,Mohave,PM2.5 - Local Conditions,15.0,1000.0,88101.0,2014.0,40.0,40.0,0.4,3.952918199999999,2.407645
89,AZ,Navajo,Ozone,17.0,119.0,44201.0,2014.0,7873.75,0.0,63.55,0.04878805000000001,0.008825
90,AZ,Navajo,PM10 Total 0-10um STP,17.0,1002.0,81102.0,2014.0,5662.8,5547.6,54.4,16.3127236,12.601498466666667
91,AZ,Pima,Carbon monoxide,19.0,1021.0,42101.0,2014.0,6899.86,0.0,53.02,0.26989118,0.16250572000000002
92,AZ,Pima,Lead (TSP) LC,19.0,1028.0,14129.0,2014.375,43.875,0.0,1.5,0.0034075,0.0014490000000000002
93,AZ,Pima,Nitrogen dioxide (NO2),19.0,1019.5,42602.0,2014.0,8323.7,0.0,435.9,16.2555084,8.471151699999998
94,AZ,Pima,Ozone,19.0,899.25,44201.0,2014.0,8072.5375,0.0,18.68125,0.04547003125,0.009545700000000002
95,AZ,Pima,PM10 Total 0-10um STP,19.0,592.3457943925233,81102.0,2013.803738317757,2886.0467289719627,3.308411214953271,86.8785046728972,26.39748312149531,20.406994018691577
96,AZ,Pima,PM2.5 - Local Conditions,19.0,763.8441558441558,88101.0,2014.155844155844,719.8181818181819,0.0,14.87012987012987,5.458811480519484,2.7668214025974023
97,AZ,Pima,Sulfur dioxide,19.0,1028.0,42401.0,2014.0,24663.2,0.0,503.8,0.28311635999999996,0.38744555999999997
98,AZ,Pinal,Ozone,21.0,4669.148148148148,44201.0,2014.0740740740741,6813.925925925926,0.4444444444444444,55.77777777777778,0.04938327777777782,0.010229537037037035
99,AZ,Pinal,PM10 Total 0-10um STP,21.0,3646.9225806451614,81102.0,2014.0129032258064,3646.2419354838707,89.28709677419354,99.38709677419355,47.829750674193626,61.68694576451615
100,AZ,Pinal,PM2.5 - Local Conditions,21.0,2162.8120805369126,88101.0,2014.1140939597315,412.9261744966443,60.45637583892618,28.2751677852349,10.674391744966442,5.726752711409386
101,AZ,Santa Cruz,PM10 Total 0-10um STP,23.0,4.0,81102.0,2013.6666666666667,3096.5555555555557,2.888888888888889,446.6666666666667,39.83500833333333,31.62877
102,AZ,Santa Cruz,PM2.5 - Local Conditions,23.0,4.0,88101.0,2013.878787878788,758.4242424242424,0.18181818181818182,75.9090909090909,8.986224015151517,7.279840848484848
103,AZ,Yavapai,Ozone,25.0,8033.0,44201.0,2014.0,6005.5,0.0,70.85,0.049343099999999994,0.009154300000000002
104,AZ,Yavapai,PM10 Total 0-10um STP,25.0,2002.0,81102.0,2012.5,56.5,0.0,7.5,12.230878,7.5366089999999994
105,AZ,Yavapai,PM2.5 - Local Conditions,25.0,2002.0,88101.0,2012.5,58.5,0.0,4.0,4.309702,2.0691095
106,AZ,Yuma,Ozone,27.0,8011.0,44201.0,2014.0,6081.75,0.0,50.6,0.05015825,0.011101800000000002
107,AZ,Yuma,PM10 Total 0-10um STP,27.0,8011.0,81102.0,2013.8181818181818,4445.318181818182,14.0,113.45454545454545,42.88537586363636,52.75546581818182
108,AZ,Yuma,PM2.5 - Local Conditions,27.0,8011.0,88101.0,2013.6842105263158,1121.2631578947369,0.3684210526315789,88.89473684210526,6.850554394736841,5.472689789473684
109,AR,Arkansas,PM2.5 - Local Conditions,1.0,11.0,88101.0,2013.6666666666667,106.66666666666667,0.0,2.3333333333333335,9.273257499999998,4.369926333333333
110,AR,Ashley,PM2.5 - Local Conditions,3.0,5.0,88101.0,2014.0,117.4,0.0,2.4,8.851121399999997,4.1573177999999995
111,AR,Clark,Ozone,19.0,9991.0,44201.0,2014.0,7380.35,0.0,232.85,0.03992235,0.010552800000000001
112,AR,Crittenden,Nitrogen dioxide (NO2),35.0,5.0,42602.0,2014.0,8489.4,0.0,39.4,13.428064000000001,7.991726000000002
113,AR,Crittenden,Ozone,35.0,5.0,44201.0,2014.0,8107.0,0.0,3.1,0.043916250000000004,0.01192545
114,AR,Crittenden,PM2.5 - Local Conditions,35.0,5.0,88101.0,2014.0,120.0,0.0,1.0,9.282369600000004,4.545083399999999
115,AR,Faulkner,PM2.5 - Local Conditions,45.0,2.0,88101.0,2012.0,44.5,0.0,0.0,9.799339000000002,3.7143564999999996
116,AR,Garland,PM2.5 - Local Conditions,51.0,3.0,88101.0,2014.0,80.7,0.0,0.7,9.451618600000003,4.200920299999999
117,AR,Jackson,PM2.5 - Local Conditions,67.0,1.0,88101.0,2014.0,113.6,0.0,4.8,8.934769200000002,4.646153800000002
118,AR,Newton,Ozone,101.0,2.0,44201.0,2014.0,8115.35,0.0,3.0,0.04271335,0.009700249999999999
119,AR,Phillips,PM2.5 - Local Conditions,107.0,1.0,88101.0,2012.0,59.0,0.0,0.0,9.332203,3.6002129999999997
120,AR,Polk,Ozone,113.0,3.0,44201.0,2014.0,7976.0,0.0,15.65,0.044661400000000004,0.009932350000000001
121,AR,Polk,PM2.5 - Local Conditions,113.0,2.0,88101.0,2014.0,118.2,0.0,1.2,9.178101799999999,4.436925400000001
122,AR,Pope,PM2.5 - Local Conditions,115.0,3.0,88101.0,2012.0,57.0,0.0,0.0,8.731579,3.4523370000000004
123,AR,Pulaski,Carbon monoxide,119.0,7.0,42101.0,2013.625,8732.0625,0.0,8.9375,0.375810875,0.151204375
124,AR,Pulaski,Lead PM10 LC FRM/FEM,119.0,7.0,85129.0,2014.0,48.4,0.0,3.9,0.0018963,0.0018429999999999998
125,AR,Pulaski,Nitrogen dioxide (NO2),119.0,7.0,42602.0,2014.0,8720.2,0.0,31.6,15.7435202,9.405241100000001
126,AR,Pulaski,Ozone,119.0,648.3571428571429,44201.0,2013.857142857143,8112.857142857143,0.0,3.1607142857142856,0.04193673214285714,0.011913821428571428
127,AR,Pulaski,PM10 Total 0-10um STP,119.0,340.3333333333333,81102.0,2014.0,75.73333333333333,0.0,0.8666666666666667,18.682536799999998,8.658468466666667
128,AR,Pulaski,PM2.5 - Local Conditions,119.0,480.3157894736842,88101.0,2013.8947368421052,163.1578947368421,0.0,1.105263157894737,10.392584157894735,4.828037210526316
129,AR,Pulaski,Sulfur dioxide,119.0,7.0,42401.0,2013.625,5181.0,0.0,9.0625,1.4158174374999999,0.9356212812499999
130,AR,Union,PM2.5 - Local Conditions,139.0,6.0,88101.0,2014.0,119.2,0.0,0.6,9.428270800000004,4.3266241999999995
131,AR,Union,Sulfur dioxide,139.0,6.0,42401.0,2014.0,5160.05,0.0,9.6,2.23992105,3.5028732499999995
132,AR,Washington,Ozone,143.0,5.5,44201.0,2014.0,7930.2,0.0,16.95,0.044154650000000004,0.0099308
133,AR,Washington,PM2.5 - Local Conditions,143.0,5.0,88101.0,2014.0,114.4,0.0,3.2,8.6922754,3.9692272000000015
134,CA,Alameda,Carbon monoxide,1.0,10.642857142857142,42101.0,2014.357142857143,8055.071428571428,0.0,119.67857142857143,0.4206922500000001,0.2298666428571428
135,CA,Alameda,Nitrogen dioxide (NO2),1.0,425.375,42602.0,2014.2083333333333,7703.416666666667,0.0,190.95833333333334,15.562418791666671,8.261446791666666
136,CA,Alameda,Ozone,1.0,615.7826086956521,44201.0,2014.2173913043478,7090.652173913043,159.18478260869566,49.82608695652174,0.033778815217391296,0.01008566304347826
137,CA,Alameda,PM2.5 - Local Conditions,1.0,9.68421052631579,88101.0,2014.2631578947369,1815.5684210526315,0.0,22.389473684210525,8.641273347368424,5.233965389473686
138,CA,Alameda,Sulfur dioxide,1.0,11.0,42401.0,2014.0,4623.5,0.0,190.6,1.0309291000000003,1.4266499
139,CA,Amador,Ozone,5.0,2.0,44201.0,2014.0,7972.0,0.0,80.65,0.044246400000000005,0.014714499999999997
140,CA,Butte,Carbon monoxide,7.0,7.0,42101.0,2013.6666666666667,6681.083333333333,0.0,165.66666666666666,0.2698918333333334,0.20106975000000002
141,CA,Butte,Nitrogen dioxide (NO2),7.0,7.0,42602.0,2013.6666666666667,6864.833333333333,0.0,307.8333333333333,12.140097666666668,7.067682333333331
142,CA,Butte,Ozone,7.0,7.0,44201.0,2013.8181818181818,7315.454545454545,0.0,98.1590909090909,0.0441475909090909,0.012273886363636362
143,CA,Butte,PM10 Total 0-10um STP,7.0,7.4,81102.0,2014.1,2027.0,0.0,31.1,19.720350000000003,12.7253692
144,CA,Butte,PM2.5 - Local Conditions,7.0,7.25,88101.0,2013.5,257.0,0.5,28.25,8.968419374999998,6.473431000000002
145,CA,Calaveras,Ozone,9.0,1.0,44201.0,2014.0,7980.5,0.0,97.2,0.04536515,0.01426085
146,CA,Calaveras,PM10 Total 0-10um STP,9.0,1.0,81102.0,2014.3333333333333,2239.6666666666665,0.0,49.0,14.313257,12.844697333333336
147,CA,Calaveras,PM2.5 - Local Conditions,9.0,1.0,88101.0,2014.0,1984.76,0.0,43.16,8.165948720000001,7.910661879999999
148,CA,Colusa,Ozone,11.0,1002.0,44201.0,2014.0,7887.85,0.0,99.85,0.0400564,0.011131549999999999
149,CA,Colusa,PM10 Total 0-10um STP,11.0,1002.0,81102.0,2014.5714285714287,1209.5714285714287,0.0,24.428571428571427,21.45484742857143,15.432390714285715
150,CA,Colusa,PM2.5 - Local Conditions,11.0,405.0,88101.0,2014.0,1768.94,1611.48,145.16,7.011094779999996,6.5892401999999946
151,CA,Contra Costa,Carbon monoxide,13.0,669.3333333333334,42101.0,2014.0,8356.466666666667,0.0,77.03333333333333,0.3380989000000001,0.13191346666666665
152,CA,Contra Costa,Nitrogen dioxide (NO2),13.0,1003.75,42602.0,2014.0,7767.95,0.0,143.95,11.094065325000003,6.925481725000002
153,CA,Contra Costa,Ozone,13.0,1003.75,44201.0,2014.0,7298.6625,0.0,35.5875,0.0373024125,0.010636700000000002
154,CA,Contra Costa,PM10 Total 0-10um STP,13.0,690.25,81102.0,2014.125,41.5,0.0,0.375,14.436980687499998,7.659740875
155,CA,Contra Costa,PM2.5 - Local Conditions,13.0,474.64150943396226,88101.0,2013.8867924528302,1514.5094339622642,0.0,29.471698113207548,8.153217037735848,4.907388886792452
156,CA,Contra Costa,Sulfur dioxide,13.0,836.0,42401.0,2014.0,4737.658333333334,0.0,116.9,1.2569101916666665,1.0717373999999995
157,CA,Del Norte,PM10 Total 0-10um STP,15.0,6.0,81102.0,2012.5,58.0,0.0,4.5,14.301724,8.221584
158,CA,Del Norte,PM2.5 - Local Conditions,15.0,7.0,88101.0,2016.0,499.4,0.0,10.6,6.5933746,3.6600273999999997
159,CA,El Dorado,Ozone,17.0,14.142857142857142,44201.0,2013.9285714285713,5496.982142857143,0.0,75.5,0.0535750892857143,0.012058160714285716
160,CA,El Dorado,PM10 Total 0-10um STP,17.0,11.0,81102.0,2015.0,3631.0,0.0,112.5,15.628164666666668,11.823904666666666
161,CA,Fresno,Carbon monoxide,19.0,1458.6818181818182,42101.0,2013.8636363636363,7033.318181818182,391.3636363636364,311.27272727272725,0.33711620454545443,0.20743538636363637
162,CA,Fresno,Lead (TSP) LC,19.0,11.0,14129.0,2014.0,58.4,0.0,7.4,0.0039236,0.0023682
163,CA,Fresno,Nitrogen dioxide (NO2),19.0,1726.607142857143,42602.0,2014.0,6977.0,0.0,1112.142857142857,16.70425994642857,8.949223267857143
164,CA,Fresno,Ozone,19.0,1639.3428571428572,44201.0,2013.9142857142858,7201.892857142857,76.08571428571429,199.7,0.051522207142857164,0.018030578571428573
165,CA,Fresno,PM10 Total 0-10um STP,19.0,743.7368421052631,81102.0,2014.3947368421052,1980.7894736842106,506.63157894736844,166.60526315789474,36.335897763157895,24.144774789473686
166,CA,Fresno,PM2.5 - Local Conditions,19.0,1957.778350515464,88101.0,2013.979381443299,1001.2680412371134,81.79381443298969,56.08247422680412,15.91624486082474,11.720424737113424
167,CA,Fresno,Sulfur dioxide,19.0,10.863636363636363,42401.0,2013.8181818181818,8840.636363636364,0.0,147.27272727272728,0.7133982272727273,0.6835234090909089
168,CA,Glenn,Ozone,21.0,3.0,44201.0,2014.0,7913.7,0.0,107.65,0.04253995,0.01117215
169,CA,Glenn,PM10 Total 0-10um STP,21.0,3.0,81102.0,2014.375,3330.125,0.0,98.625,21.81575025,18.0314965
170,CA,Humboldt,Carbon monoxide,23.0,1004.5,42101.0,2014.0,8049.5,0.0,364.0,0.27763945,0.12902125000000003
171,CA,Humboldt,Nitrogen dioxide (NO2),23.0,1004.5,42602.0,2014.0,7601.1,0.0,1139.5,3.300815300000001,2.6085561000000004
172,CA,Humboldt,Ozone,23.0,1004.5,44201.0,2014.0,7611.475,0.0,144.45,0.029768999999999997,0.007538649999999999
173,CA,Humboldt,PM10 Total 0-10um STP,23.0,1003.8333333333334,81102.0,2013.75,2217.5,0.0,83.91666666666667,15.876923000000003,11.144233166666666
174,CA,Humboldt,PM2.5 - Local Conditions,23.0,828.0588235294117,88101.0,2013.764705882353,869.2941176470588,746.5882352941177,14.294117647058824,6.7153564705882385,4.637075970588237
175,CA,Humboldt,Sulfur dioxide,23.0,1004.5,42401.0,2014.0,22997.16,0.0,1588.3,0.07924416000000001,0.3181119600000001
176,CA,Imperial,Carbon monoxide,25.0,458.6363636363636,42101.0,2013.909090909091,7024.5,0.0,499.8636363636364,0.2957668636363637,0.3510869999999999
177,CA,Imperial,Lead (TSP) LC,25.0,5.0,14129.0,2013.5,56.5,0.0,4.5,0.016946749999999997,0.01677375
178,CA,Imperial,Nitrogen dioxide (NO2),25.0,504.0,42602.0,2014.0,8145.7,0.0,559.9,17.5716158,11.51067585
179,CA,Imperial,Ozone,25.0,2059.3888888888887,44201.0,2014.0555555555557,7278.847222222223,0.0,206.40277777777777,0.047129249999999984,0.012312222222222223
180,CA,Imperial,PM10 Total 0-10um STP,25.0,2004.6614173228347,81102.0,2014.5669291338584,2525.228346456693,45.52755905511811,56.28346456692913,47.01627985826772,43.84000328346458
181,CA,Imperial,PM2.5 - Local Conditions,25.0,183.57142857142858,88101.0,2013.9642857142858,746.1964285714286,595.0357142857143,17.339285714285715,11.64363124107143,6.973434142857145
182,CA,Imperial,Sulfur dioxide,25.0,5.0,42401.0,2013.8333333333333,3930.7916666666665,0.0,255.75,0.9914761250000002,0.9972736666666667
183,CA,Inyo,Carbon monoxide,27.0,2.0,42101.0,2016.0,8018.0,0.0,246.5,0.1121315,0.024398
184,CA,Inyo,Ozone,27.0,156.69230769230768,44201.0,2014.3846153846155,7552.9807692307695,1718.673076923077,94.84615384615384,0.04660282692307694,0.010415865384615383
185,CA,Inyo,PM10 Total 0-10um STP,27.0,544.3129770992366,81102.0,2014.2290076335878,3157.0687022900765,1526.824427480916,234.00763358778627,28.00890439694657,40.15310890839694
